,idx,class,conversation
201,201,협박 대화,"갚아줘
돈이 없는데 어떻게 갚을 수 있겠어?
남의 돈 훔치고 웃고 웃고만 있잖아
그냥 갚아줘
죽고 싶어? 아니면 그 섬에 팔아버릴 거야
. 능력이 있으니까
물론 지금은 널 내버려 두지 않을 거야
그거 별로 돈이 아니야
널 때려 죽일 거야. 당장은
나도 널 내버려 두지 않을 거야"
202,202,협박 대화,"내일까지 갚으라고 하지 않았어?
죄송하지만, 시간을 좀 더 줘.
딸아이가 좋은 학생이야?
제발, 적어도 내 딸아이는. 이번 달에 꼭 갚을게.
두려워하지 마. 이 녀석은 그러지 않을 거야.
진짜, 시간만 좀 줘. 꼭 갚을게.
내일 애들을 딸아이 학교에 보내야 해?
아니, 모레까지만 줘. 꼭 준비할게.
약속 지켜! 안 그러면 재미없을 거야.
모레까지 꼭 갚을게."
203,203,갈취 대화,"야! 이리 와! 야!! 내 말 안 들려? 내가 여기 오라고 했잖아.
나?
응, 너! 고개 흔들지 말고 여기 와.
뭐해?
네 집안이 부유하다고 들었어. 노블레스 오블리주 알아?
응.
아, 뭐해? 돈 안 줬어.
아. 여기.
너한테서 받은 게 아니야. 너가 준 거야. 잘 쓸게."
204,204,직장 내 괴롭힘 대화,"김매니저.
네, 매니저님. 왜 전화하셨어요?
어제 신청한 휴가가 승인되지 않을 것 같아요.
허? 모든 요건에 따라 신청했어요.
그날 휴가를 가야겠다고 생각해서 김매니저의 휴가가 거부되었어요.
김매니저는 그날 쉬는 날이 없을 것 같았어요.
갑자기 일이 생겨서 김매니저가 휴가를 가야 해서 회사에 남았어요.
매니저님. 저도 그날 일이 있어서 미리 휴가를 신청했어요. 어려워요.
뭐라고요? 당신이 매니저예요? 제가 먼저 가야 하나요?
매니저님, 너무 멀리 가셨어요."
205,205,협박 대화,나는 당신을 사랑하고 이것은 내 관계가 아닙니다!!!! 조금만이라도요.
206,206,직장 내 괴롭힘 대화,"안녕하세요. 박 매니저님.
네?
박 매니저는 승진하지 않은 것 같아요.
무슨 말씀이세요?
어제 매니저랑 술집에서 나 보셨어요?
문제인가요?
우리 회사에 여자 매니저가 없는 거 아시죠? 박 매니저는 이상하죠. 당연한 거 아니겠어요?
회사 입장은 회사에 여자 매니저가 한 명도 없었다고 하잖아요. 그럼 지금 제가 매니저인 게 문제인가요?
아니, 웃기네요. 같은 시기에 입사했는데 갑자기 승진해서 이기기가 힘들었으니까 열심히 노력한 거잖아요.
너무 가혹하죠. 그리고 결과도 충분히 타당하다고 생각해요.
모르겠어요. 술을 마셔서 그런지, 농담을 팔아서 그런지, 아니면 다른 걸 팔아서 그런지 궁금하네요. 앞으로 팀 내에서 논의가 있을 거예요. 준비되셨나요?"
207,207,협박 대화,"죽고 싶어서 미칠 것 같아, 부인?
왜 그렇게 화가 나?
왜 집안일을 하지 않고 운전을 해?
신호 위반한 건 너잖아.
뭐가 문제야? 나한테 대꾸하는 게 뭐가 좋은 거야?
뭐가 문제야?
이모, 정말 죽고 싶어? 아, 미쳤기 때문에 묻는 거야?
그게 아니야.
이모, 운전해. 쫓아가서 때려줄게.
그만해."
208,208,갈취 대화,"오! 뭐? 그거 좋다.
허? 뭐?
야, 신발 벗어.
아니, 이거 내 거야.
벗어, 멍청아.
아니.
벗어, 이시키. 네가 좋은 말을 할 때,
알겠어.
네가 일찍 줬더라면 얼마나 더 좋았겠어?
나가, 멍청아."
209,209,협박 대화,"어디서 잘라야 하나요?
제발 저를 구해주세요.
농담하는 줄 아세요? 먼저 손가락을 잘라야 하나요?
도대체 왜 저한테 이러는 거예요?
특별한 이유는 없어요. 그냥 남들이 고통받는 걸 보는 게 좋아요.
제발 저를 구해주세요. 돈 다 줄게요. 진지해요.
돈은 필요 없어요. 그냥 당신이 고통받고 죽기를 바랄 뿐이에요.
딸들과 아내가 집에서 기다리고 있어요. 제발, 간청합니다.
당신 대신 죽으러 오는 사람이 있다면, 당신을 놓아줄게요. 그때까지는 나갈 수 없어요.
제발, 다시 생각해 보세요. 제발 저를 구해주세요."
210,210,협박 대화,"돈 훔쳤다고 신고했어?
내가 아니었어, 왜 그래? 그리고 네가 훔쳤지?
내가 훔쳤다는 증거가 있어?
신고할게. 내가 목격자야.
너 때문에 내 이미지가 망가졌어. 이제 내 주변에 아무도 없어. 너도 똑같이 만들 거야.
왜 그렇게 극단적이야? 진정해. 아무 말도 안 했어.
내가 웃는 걸 보고 싶었을 거야. 네가 길에서 지나갈 때 벽돌로 머리를 때려서 죽일 거야.
내가 안 했다고 했는데 왜 이러는 거야?
아무것도 필요 없어. 낮이든 밤이든 조심해. 곧 죽일 거야.
미쳤어? 정신 차려. 정말 신고할 거야."
211,211,협박 대화,"돈 받으면 갚지 않는 게 아니라
돈 미친 듯이 쓴다는 거야
살기 정말 힘들어
알잖아
계속 이러면 진짜 죽는다
내 상황을 생각해봐
지금 당장 여기서 뛰어내릴 수도 있어
그렇게 말하지 마
그렇지 않으면 손목을 베어버릴 거야
그렇게 말하지 마"
212,212,직장 내 괴롭힘 대화,"아, 왜 그러세요?"
213,213,직장 내 괴롭힘 대화,"야 미주야 내 일 좀 도와줘
미주야, 이거도 도와줘

미주야, 오늘 프레젠테이션 해

이 데이터 오타 수정하고 결제 올려 미주
허, 내가 다 하는 거야??
어머, 그때 더 많이 했어

맞아, 맞아, 맞아 하하
이건 그냥 껌이야

너무 많은 것 같아. 내 일도 아닌데.
와, 선배님, 라떼도 주세요"
214,214,갈취 대화,"나를 따라와, 착하게 가장하고
. 알았어.
지금 내가 가진 모든 걸 줄게
맞지?
그럼 지금 아니면 내일???
이게 내가 가진 전부야.
거짓말하지 마, 그러면 또 한 번 기회를 줄게. 꺼내
정말 없어.
하. 진짜야!!!
아아. 알겠어."
215,215,갈취 대화,"10년 동안 모은 돈이에요. 무슨 돈이에요!
누가 가져갔어요? 빌렸다고 했잖아요.
지난번처럼 사업을 망치려고요? 그럴 수 없어요.
왜 믿지 못하세요, 엄마?
제발 정신 차리세요.
이게 내가 가진 전부예요? 전에 썼던 돈은 어디 있어요?
새벽시장에 가서 관절을 망가뜨려서 모은 돈이야!
빨리 돌려줘.
어머나! 어머나!"
216,216,협박 대화,"다시 시험을 치르게 해줘.
아니. 무슨 일이 있어도 규칙을 따라야 해.
이 시험은 정말 중요해. 안 치르면 죽은 것과 마찬가지야.
시험이 아무리 중요해도 목숨을 걸고 할 만한 가치가 있어? 위험하니까 내려와.
말했잖아. 시험을 치르지 않으면 죽은 것과 마찬가지야. 다시 시험을 치르지 않으면 여기서 떨어지게 돼.
말도 안 되는 소리 그만하고 다시 생각해. 나중에 후회하게 될 거야.
무슨 일이 있어도 다시 시험을 치르게 해줘! 빨리 다시 시험을 치르게 해줘!
진정해. 야.
시험을 다시 치르게 해 주지 않으면 떨어지고 마음을 바꾸지 않을 거야. 빨리!
규칙은 규칙이야!"
217,217,갈취 대화,"돈 있어요?
아니, 아직은 없어요.
약속을 지키지 않았다면 뭐라고 말했을까요?
죄송하지만 시간이 충분하지 않아요.
시간 있어요?
죄송해요.
아니, 500달러는 너무 많아요.
다음 주까지 가져오면 어떨까요?
지금 당장 필요해요.
기회를 주세요."
218,218,직장 내 괴롭힘 대화,"야, 왜 그러는 거야?
어제 말한 거랑 똑같아.
그러니까 내가 그러라고 한 거야? 미쳤어?
아. 아니
입 벌리고 헛소리하네
미안해
그러니까 내가 그러라고 한 거야, 그러니까 네 잘못이 아니야
아니, 내가 잘못한 거야
야, 네가 더 잘 알았어야지, 그럼 내가 네 상사한테 등을 돌릴 수 있을까?
할 말 없어, 미안해"
219,219,기타 괴롭힘 대화,"사장님, 이리 와요
허?뭐야?
이거 내가 먹으라고 만든 거야?
그래, 뭐가 문제야?
아니, 너무 짜고 냄새나서 못 먹어
미안해. 다시 만들게
이 음식이 벌써 맛이 없는데 뭐 먹으라고?
미안해. 바로 맛있게 만들게
그만해. 돈 못 내니까 알아둬.
거의 다 먹었는데 이상해
이 맛없는 음식을 먹고는 식욕이 없어.
그래도 돈 내야 돼
내가 뭘 하라고?돈 못 내니까 지금 갈게.
계속 이러면 경찰에 신고해야겠어.
뭐? 신고해? 농담이야? 신고해
서로 이러는 거 그만하고 돈 내.
인터넷에 다 퍼뜨려서 이 식당 망칠 테니까 기다려"
220,220,협박 대화,"이걸 바로잡아 봅시다.
아니, 제발 저를 구해 주세요.
정신을 차리려면 갈비뼈를 부러뜨려야 하지 않나요?
아니! 망치를 던져 버려요.
망치로 당신을 죽여 버릴 거예요.
제발 저를 구해 주세요.
갈비뼈가 부러져서 죽지는 않을 거예요.
제발 저를 구해 주세요.
다칠 거예요!
제발 저를 구해 주세요!"
221,221,갈취 대화,"너가 가진 돈 전부 줘
이게 전부야, 5,000원
거짓말 하지마
거짓말 아니야, 전부야
찾으면 뭐할 거야? 셔츠 주머니 뒤져
이게 집 가는 버스 요금
집에 가든 안 가든, 내 아르바이트가 아니니까 그것도 줘
이게 정말 필요해
좋아, 그냥 돈 전부 줘
좋아"
222,222,협박 대화,"내가 웃기다고 생각해?
아니
그럼 농담하는 거야?
아니
그렇지 않다면, 어떻게 이렇게 집을 엉망으로 만들 수 있어?
내가 고칠게.
내가 고칠 거라고 몇 번이나 말했어?
창피해.
이런 일이 다시 일어난다면, 네 엄마의 다리를 부러뜨리고 그녀에게 교훈을 줄 거야. 어떻게 아이를 가르치는 거야? 이해해?
이해해."
223,223,갈취 대화,"아들이 그리우면 지금 편의점에 가서 구글 기프트를 사세요.
뭐야? 넌 누구야? 누가 네 아들을 데려갔어? 구글 기프트가 뭐야?
내가 먼저 편의점에 갈게.
10만 원권 10장 사서 긁고 사진 찍어서 너한테 보낼게.
시간 좀 줘.
장난치면 네 아들이 죽을 거야.
잠깐만."
224,224,협박 대화,"내게 다가오지 마! 더 이상 다가오면 찔러버릴 거야!
제발 날 구해줘
진정하고 무기를 내려놓아.
진정해? 이 녀석에게 얼마나 속았어!!
내가 틀렸어, 선생님. 내가 보상할게!
이게 계속될수록 너한테 더 힘들어질 거야. 무기를 내려놓아!
헛소리 그만해! 오늘 이 녀석을 죽이고 죽을 거야
지금 당장 멈추지 않으면 우리도 너를 쏠 수밖에 없어!
쏠 거면 쏴! 우리 둘 다 죽을 거야!
제발 날 구해줘"
225,225,갈취 대화,"야, 지난번에 몸이 안 좋아서 병원에 갔는데, 아프다고 했어.
뭐가 문제야? 정말 아픈 거야? 어떡하지? 지금 가야 할까?
아니, 오지 마. 성병이 있어. 그러니까 치료비 빨리 보내줄게. 30만원 가까이 들 거야.
뭐야? 진단서나 처방전 보내줘. 증거 있으면 치료비 내줄게.
믿지 못하냐? 먼저 날 아프게 했고, 지금은 증거 있어야 치료비 내준다고. 증거 주는 게 부끄러워. 그냥 믿고 보내.
아니, 내 말만 믿으면 어떻게 보내? 몇 달 전에 검사했을 때는 아무 문제 없었어.
그럼 몇 달 뒤에도 그럴 수 있었을 거야. 너무 웃기잖아. 빨리 보내지 않으면 페이스북에 올릴게.
아니, 내 잘못이 아닌 것 같은데, 그럼 왜 돈을 보내야 하나요? 증거를 보여줘야 저를 믿고 보내실 수 있어요.
그럼 페이스북에 글을 써야 하나요? 돈과 자존심 중에 고르시겠어요?
진짜, 제가 아니라고 했어요. 그냥 돈 보내드릴게요. 50만원을 최대한 빨리 보내주세요. 왜 갑자기 또 50만원이 됐어요? 더 비싼 건 어떻게 아세요? 미리 받을 수 있다고 했는데 못 받나요? 50이 얼마예요? 빨리 보내주세요."
226,226,기타 괴롭힘 대화,"할아버지, 담배 한 갑 사 주세요
야, 꼬마야! 어른을 심부름 보내는 게 뭐야
아, 그럴 수 없어, 내가 좋은 말을 할 때 담배 사 줘?
뭐? 내가 좋은 말을 할 때?
나는 늙고 약하니까 심부름은 내가 할게
너. 너희들!
아, 할아버지, 얼마나 화가 났는지 봐. 진정해. 지옥에 갈 거야
.뭐. 야!!
아, 빨리 담배 한 갑 사 줘, 내가 저승에 가기 전에
너. 너희들."
227,227,협박 대화,"이걸 마시면 편히 죽을 수 있어
나를 구해줘
아니, 넌 내게 죄를 지었으니까 더 이상 살 수 없어
다시는 같은 실수 안 할게, 미안해
사과는 죽은 사람을 위한 거야 너도 죽어
나를 구해줘
마셔
나는 죽고 싶지 않아
그럼 왜 그랬어? 너도 똑같이 죽어야 해
나는 죽고 싶지 않아"
228,228,협박 대화,"당신이 언급한 정보를 얻었습니다.
오, 고맙습니다.
그게 전부인가요?
그게 전부인가요?
내가 이 사건을 끝내면 내 딸을 풀어주겠다고 했잖아요.
오, 뭔가가 일어났네요.
뭐. 뭐!
이게 일어난 일이에요. 한 번 더 도와주세요.
. 내가 당신을 믿을 수 있다고 생각하세요?
당신이 나를 믿든 믿지 않든 상관없어요. 내 딸의 생명이 가장 중요한 게 아니겠어요?"
229,229,갈취 대화,"야. 노트북이 꽉 찼어.
허? 왜?
노트북 빌려줄 수 있어?
아. 아니. 미안해.
왜?
이미 다 썼어.
농담이지? 이건 부탁이 아니라 명령이야. 네 남동생이 여기 학교에 다니니?
허.
동생을 망치고 싶지 않다면 돌려줘!
돌려줘!!
응, 나가."
230,230,갈취 대화,"형, 지난번에 돈 빌려줘서 정말 고마워.
아. 맞아.
하지만 오늘은 잊어버려서 지갑을 안 가져왔어.
뭐라고 했어?
미안해, 한 번 더 빌려줘.
아, 오늘은 돈이 없어.
야, 거짓말하지 마. 오늘은 팬티 사려고 돈을 모으는 날이야. 돈은 가져왔어.
아니, 팬티 사야 돼.
내가 잘 말할 때 좀 줘, 지치게 하지 마.
아, 알겠어."
231,231,직장 내 괴롭힘 대화,"요즘 신입들은 왜 이러지?
허?
선배들도 귀찮아하지 않고 요즘은 다들 대꾸해
사람들은 의견이 다를 수도 있어
내 때는 정말 그렇지 않았어
하지만 시대가 바뀌었지
지금도 네가 대꾸하는 걸 보면 틀림없어. 아, 너무 화가 나서 죽을 것 같아.
아, 미안해
나만 위아래로 맞는 거야, 내 운명이야
참 안타까운 일이야."
232,232,갈취 대화,"야, 형, 그 가방을 두고 가는 거야?
봐, 내 돈이야, 왜 이러는 거야?
내 도박돈을 훔치려는 거야?
도박이 아니야, 절대 아니야
너가 실력을 뽐내는 걸 봤어!
봐, 이러지 마
맞고 싶어? 그냥 돈은 두고 가
그러지 마, 제발
맙소사! 빨리!"
233,233,협박 대화,"너는 나를 좋아하니?
허?어떻게 알았어?
내가 지나갈 때마다 항상 나를 노려보는 걸 알아챘어
너는 항상 누구에게나 친절하니까
응, 못생기고 쓸모없는 사람에게도 친절하지만, 그게 너한테는 아무 의미가 없어
아.알았어.
그러니까 네가 나를 좋아하고 그게 귀찮으면, 네 감정을 정리하렴
사람의 감정은 칼로 자르듯이 쉽게 정리할 수 없어
그게 내 일이 아니지만, 정리해야 해. 너 같은 사람이 나를 좋아한다는 게 너무 소름 돋아. 내가 빨리 정리하지 않으면, 알잖아? 아무도 내 성격을 몰라. 내 학년에서는 어떻게 해야 할지 모르겠어, 맞고 싶지 않으면 빨리 정리하렴
아.알았어."
234,234,직장 내 괴롭힘 대화,"아니, 글쎄요, 선생님
아, 저는 그런 사찰을 본 적이 없지만 정말 멋진데요
무슨 말씀이신가요?
아, 아, 아무것도 아니에요
여기 공기가 나쁜가요? 바람이 정말 많이 부는데요
허?
아, 아니, 하지만 사찰이 그렇게 변하면 정말 보기 흉하다는 걸 알잖아요
아, 왜 그러세요, 그러지 마세요, 가자고요. 미안해요
제가 뭔가 잘못한 건가요?
아, 아니, 괜찮아요"
235,235,갈취 대화,"야, 네 아빠가 범죄자야??
어떻게 알았어??
그게 중요해? 네 아빠가 범죄자라는 게 중요해.
우리 아빠는 불공평하게 대우받았어.
이 세상에 누가 사연이 없겠어?
하지만.
비밀로 해야 할까?
비밀??
물론이지. 하지만 네가 신고 있는 운동화를 대신 줄 수 있어?
할머니가 사줬어.
전과가 있는 딸이 신으면 너무 과할 것 같아서 신을게."
236,236,협박 대화,"지고 싶어? 내 말대로 하지 않을래?
미안해.
때렸어? 내가 사람을 많이 찔렀다고 했잖아.
그럴게.
아, 그렇게 가혹하게 대하지 마. 해. 하지만 네 동생은 좋은 회사에 다니잖아?
미안해.
동생 추모일과 같은 날 맞출 수 있어?
잘할게. 동생 건드리지 마.
나한테 명령하는 거야? 정말 지고 싶어?
아니. 미안해."
237,237,협박 대화,"사람들은 신장 하나 없이도 살 수 있어.
왜 갑자기 그런 말을 하니?
아니, 신장 하나 없이도 살 수 있다면 왜 두 개가 필요하니?
나한테 하는 말이야?
이 지경이 되었으니 신장 하나를 빼서 돈을 버는 게 낫지 않겠어?
왜 내가 누군가를 위해 그래야 하지?
누군가를 위해라고 하면, 글쎄. 간단히 설명해. 우리가 당신의 모든 정보를 가지고 있다는 걸 알잖아, 그렇지?
무슨 소용이 있어?
그럼 막 걷기 시작한 당신의 작은 아이가 어디 있는지 알아?
뭐? 내 아이 건드리지 마. 제발, 내가 어떻게든 돈을 찾아줄게.
너무 오래 기다렸잖아. 그러니까 그냥 쉬자. 잠깐 자고 일어나면 다 끝날 거야.
싫어. 뭐 하는 거야!"
238,238,갈취 대화,"정한아, 오늘 배고프니까 나가서 먹자. 오늘 학교 급식은 정말 최악이야.
아, 정말? 그럼 오늘 돈 가져왔어? 전에 돈 없다고 했잖아.
아, 맞아. 돈 없어. 오늘 점심 사줘.
뭐? 대신 돈 빌려달라고 해야지.
아, 미안해. 하지만 돈이 없으니까 하루치만 줘. 파스타 먹고 싶어.
파스타? 너무 비싸. 돈이 없어.
야, 친구가 파스타 먹고 싶어하니까 빌려줘. 너무 힘들어? 하루치만 줘. 다음에 사줄게.
아냐. 전에도 그렇게 말했는데 아직도 갚지 않았어.
야, 이번에는 맛있는 거 사서 갚는다고 했으니까 오늘 사.
이게 마지막이야."
239,239,기타 괴롭힘 대화,"왜 날 때리니?
야, 내가 너한테 나랑 같은 신발 신지 말라고 하지 않았어?
미안해. 오늘 네가 이걸 신을 줄은 몰랐어.
그럼 매일 아침 말해야 해?
. 다시는 안 할게. 조심할게.

너 같은 사람들과 어울리는 건 역겹잖아.
도대체 왜 나한테 이러는 거야?
거울을 봐. 냄새 나고 못생긴 놈은 자리도 못 차지하잖아.
나한테는 너무 가혹한 것 같아. 반장으로서 모든 친구들을 돌봐야 하지 않아?
물론, 나도 모든 친구들을 돌봐야지. 하지만 너 같은 친구는 한 번도 없었어."
240,240,갈취 대화,"야! 애들 사업 보러 와.
너야?
응, 너야. 너 말고 다른 사람 있어?
뭐가 문제야?
돈 얼마나 있어?
난 돈 없어.
나한테 맞은 적 없지?
이러지 마!!
주머니에 뭐가 들어 있어? 돈이 아니야?
제발! 돌려줘."
241,241,협박 대화,"뭐하는 거야
미안해
그냥 미안하다고 말해도 돼?
그게 아니야
내가 네 약점에 대한 소문을 퍼뜨린 게 짜증나?
아니, 제발
후유증은 감수해야지
한 번만이라도 날 놓아줄 수 없니?
응, 아니, 하지만 왜 나야?
미안해"
242,242,직장 내 괴롭힘 대화,"김매니저. 잠깐 뵙겠습니다.
네, 매니저.

김매니저는 부하직원을 어떻게 관리하시나요?
네? 뭐요?

신입사원은 뭐 하시나요?
죄송합니다.
일을 잘 못하더라도 왜 항상 늦으세요? 부하직원을 제대로 교육시키지 않으세요? 계속 그러면 다치게 됩니다.
죄송합니다, 매니저. 제대로 교육시키겠습니다.
어쨌든 지방 정부를 떠난 뒤에 겨우 채용했는데, 지금 이렇게 행동하시다니. 쯧쯧.
죄송합니다."
243,243,협박 대화,"무슨 일이야? 엄마 수술은 어떻게 된 거야?
엄마는 지금은 괜찮다고 하셨으니까 많이 나아진 걸 알 수 있을 거야. 수술이 필요 없어 보였어.
뭐? 왜 그렇게 결정했어? 의사야? 병원에 가서 검진을 받아야지. 심하게 아플 때는 어떡해?
나이 많고 건강이 안 좋은 사람이 수술을 받으면 어떡해????
그럼 내가 준 수술비는 어떡해? 급하다고 해서 돈 다 꺼내서 줬어. 어디야!!!!!!!!!
다른 급한 데 썼어.
하. 급한? 뭐? 어디에 썼어?
엄마와 같이 살면 돈을 쓸 곳이 한두 군데밖에 없잖아? 급한 데 썼어. 말해도 알아?
뭐? 본 적이 없어. 또 사치품 샀어?
돌려줘!!!!!!!! 뭐 알아? 아니, 항상 있었어.
하. 그러고 보니 사람인가? 이게 무슨 돈이에요!!!!!!!!!!!!!!! 밤낮으로 안 자고 번 돈이야!!!!! 엄마, 수술비 다 줬는데 가방 사려고 하는 거야????????????
아, 조용히 해. 가야 돼. 미친년아, 죽어라. 년아, 살 자격이 없어. 죽어라, 년아!!!!!!!!!!
왜. 왜 이러는 거야??! 미쳤어?
더는 못 참겠어. 지난 몇 년 동안 몇 번이나 이런 일이 있었어? 밖에 못 나가게 만들어서 팔다리를 부러뜨릴 거야? 발목을 완전히 잘라낼 거야. 무기를 찾아 주변을 둘러본다
미쳤어? 왜 그렇게 설레는 거야?!?!?
도구 상자에서 망치를 꺼내 오늘은 널 혼자 두지 않을 거야. 미친년은 너야. 팔다리를 잘라낼 거야.
갸아아아"
244,244,협박 대화,"아빠. 아빠, 언제까지 이렇게 누워 있을 거야?
미안해. 아들아. 아빠가 된 이후로 이렇게 괴롭혔잖아.
이렇게 돌보아도 살지 죽을지 모르겠어, 아니 죽을 확률이 그보다 높은데 왜 계속 이러는 거야? 너무 실망스러워.
아들아, 아무리 힘들어도 아빠, 너무 힘들지 않아? 그냥 누워 있는 게 아니라 듣지도 못하고 말도 못하고 먹지도 못해. 내가 너무 힘들게 키웠어.
그만해, 너무 지루해. 아무도 없을 때 조용히 죽어서 산소 마스크에 던져 넣고 싶어. 그러면 보험료도 내고 한 번에 두 마리의 새를 잡을 수 있어. 네 일상이 편해질 거야.
야! 아들아, 엄마 아빠 앞에서 떠드는 버릇이 뭐야! 너만 힘든 거야??
엄마가 뭐 때문에 나를 꾸중해? 화가 났어. 엄마 아빠 잘 챙겨야 돼. 언제 죽일지 지켜보고 있어.
뭐.뭐?항상 이랬어?엄마, 두 얼굴을 보면 이가 정말 딱딱 부딪혀.왜 이러지?정신 차려.이 애도 저 애도 처음부터 나한테 관심 없었어.그러다가 우리 둘 다 힘든 상황에 처하면 나한테 신경 쓰는 척하잖아.엄마가 잠들면 아빠 죽일 거야.준비해.
아들아.길 잃지 마.돌봐달라고 부탁도 안 할 거야.내 인생이 끝날 때까지 살게 둬.
봐, 아빠는 이기적이야.내 인생이 끝날 때까지?그때까지 누가 살아남을지 내가 정할게."
245,245,갈취 대화,"돈 있어?
아니.
아르바이트 수수료 받았어?
썼어.아니.
돌아보니 돈 숨겼잖아.어디에 숨겼어?
그래서 집을 이렇게 엉망으로 만든 거야?
그럼 돈은 어디 있어?
내가 없다고 했잖아! 있어도 줄 수 없잖아!
죽기 전에 줘.어디에 숨겼어?이웃들이 다 나와서 주길 바라는 거야?
그만해.
이번 한 번만 도와줄래?어디에 있어!
정말 짜증나."
246,246,갈취 대화,"버스 요금 없어. 만 원만 빌려줘.
왜 돈을 빌려주는지 물어봐.
아 맞아, 그 사람 있었어. 야, 버스 요금 없어! 만 원만 빌려줘.
돈 없어.
돈 많아?
정말 돈 없어.
버스 카드 필요해? 얼마 들어 있어?
5만 원 있어.
아, 많네! 돈 빌려줘.
못 빌려.
돈 빌려줄 수 있어? 친구끼리 빌려주는 거, 알았지?
알았어."
247,247,갈취 대화,"야, 뭐해?
허?왜?
매일 5만원 벌라고 했잖아.
미안.돈 없어.
돈 없으면 다 벌면 돼.
올해 용돈은 다 선불로 못 받아.
그럼 내년 용돈도 선불로 받자.
미안.이번에 한 번만 받게 해주면 안 될까?
그러면 내일까지 30만원이야.
뭐? 못 받아."
248,248,협박 대화,"상황을 이해하지 못하니?
아니, 미안해
네가 누군지 알아내는 건 문제가 아니야
그게
도대체 어디서 이러는 거야!
정말 미안해
웃는 거야? 웃기니?

아니
따라올 수 없어. 넌 말만 할 줄 알았는데 정신 차려야 해
끌려가서, 으악, 으악, 미안해!!!!"
249,249,갈취 대화,"나한테 어떻게 이럴 수 있어?
허?뭐야?수아.
오빠. 내가 모를 줄 알아? 어제 술 먹고 나한테 뭐했어?
어제야.?아니, 수아. 어제 날 먼저 좋아했다고 했잖아. 같이 사귀자고 했잖아.
나?술에 취해서 기억이 안 난다고 생각해?너 진짜 나쁜 사람이야.
수아, 진정해. 어제는 분명 좋아했다고 했잖아. 너도 좋아했다고 하면서 진지하게 만나기로 했잖아.
아, 괜찮아. 오빠, 성폭행으로 고소할 거야.
뭐야?성폭행?미쳤어?
고소 당하기 싫으면 우리끼리 조용히 해결하자. 합의금 줄 수 있어? 별로 바라는 거 없어. 500만 달러 줘.
500만 달러? 아, 어제 나한테 그렇게 불렀어? 줄 수 없어.
알았어. 오빠, 그럼 평생 부모님이 당신을 성폭행범이라고 부르게 만들겠어요. 아니면 조용히 해결하거나 2시간을 줄게요. 원하는 대로 하세요."
250,250,직장 내 괴롭힘 대화,"야, 신입생들 열심히 해
비공개
너희들이 노래방 청소를 이미 했다고 봤는데, 우리가 책임지니까 너희들이 주방 청소를 하는 거야.
우리가 이미 했으니까, 내일부터 하자.
아니, 너희들이 지금 주방을 해야지

우리가 노래방을 이미 하지 않았어?
사장님한테 대꾸하는 거야? 요리하다 지쳐서 말도 안 돼.
내일부터 하자.
너희 사장님이 이렇게 생겼어?
아니"
251,251,갈취 대화,"민수야, 수술비 필요해. 5만원만 빌려줄래?
응? 아니. 다음 달에 용돈 받을 때까지는 쉽지 않을 것 같아.
아. 수술은 해야 하는데 지금 돈이 없어.
정말 미안해. 정말 돈이 없어.
나도 돈 없고, 또 수술해야 해. 돈 좀 빌려줘.
미안해.
야. 너무 비싸지 않아? 지금 수술이 필요한데 병원비가 감당이 안 돼. 도와줄 수 있어?
아니, 그게 아니야. 수술비만 도와준다면 어떻게 견뎌낼 수 있어?
퇴원하고 나서 일해서 갚을 테니 돈 좀 빌려줘. 빨리 수술해야 돼.
알았어."
252,252,기타 괴롭힘 대화,"할인해 주세요
이 상품은 세일이 아닙니다.
무슨 말씀이신가요? 어제까지는 세일이었어요.
그러니까 고객에게 지금은 판매하지 않는다고 말씀하시는 건가요?
그게 저희 정책입니다.
이 서비스가 괜찮다고 생각하세요?
죄송하지만 제 권한이 아닙니다.
매장 관리자는 누구인가요? 이런 식으로 파트타임 직원을 관리하시나요?
죄송합니다."
253,253,협박 대화,"어때요? 당신의 예쁜 손가락은 곧 사라질 거예요.
테두리를 그리는 사람에게 당신의 손은 생명이에요.
맞아요. 제가 친절하게 말할 때, 당신은 손가락이 다섯 개라는 걸 알아야 해요.
지금 하고 있는 걸 끝낼게요.
시간이 없어요. 하루에 손가락 하나씩 잃는 걸 생각해 보세요.
가능한 한 빨리 끝내려고 노력할게요.
알겠어요? 그럼 손가락에서 발가락까지 범위를 넓힐게요. 기억하세요.
네, 기억할게요.
속은 척하고 당신을 믿을게요. 매일 진행 상황을 보고할게요.
네, 보고할게요."
254,254,협박 대화,"이빨을 뽑아서 못 쓰게 해야지
왜 그러는 거야
왜 짜증나서 못 참아
왜 계속 이러는 거야?진정해
내가 침착한 게 잘못이고, 네가 짜증나는 것도 내 잘못이야
너무 말이 많아
그러면 네 입이 짜증나서 이빨을 뽑으면 너는 먹을 수도 말도 못할 거야 ㅎㅎ
신고할 거야
신고하기 전에 때릴 거야, 괜찮아?
내가 이걸 들을 이유 없어.그만해."
